timestamp,gateway,active_connections,goroutines,heap_alloc_mb,heap_sys_mb
1774720466,gateway1,0,8,0.8198013305664062,7.53125
1774720469,gateway1,11,41,0.9948348999023438,7.375
1774720472,gateway1,21,71,1.1503143310546875,7.28125
1774720475,gateway1,32,104,1.32171630859375,7.15625
1774720479,gateway1,42,134,1.6806106567382812,10.90625
1774720482,gateway1,52,164,1.9808883666992188,10.84375
1774720485,gateway1,63,197,2.31298828125,10.625
1774720488,gateway1,73,227,2.7156753540039062,10.53125
1774720491,gateway1,83,257,1.7637176513671875,10.3125
1774720494,gateway1,94,290,2.2203292846679688,10
1774720497,gateway1,100,308,2.6885528564453125,9.8125
1774720501,gateway1,100,308,3.1651229858398438,9.625
1774720504,gateway1,100,308,2.247802734375,13.53125
1774720507,gateway1,100,308,2.7435379028320312,13.625
1774720510,gateway1,100,308,3.1784515380859375,13.59375
1774720513,gateway1,100,308,3.6179046630859375,13.625
1774720516,gateway1,100,308,2.2351913452148438,13.59375
1774720520,gateway1,100,308,2.675933837890625,13.59375
1774720523,gateway1,100,308,3.151519775390625,13.53125
1774720526,gateway1,100,308,3.5908432006835938,13.5
1774720529,gateway1,100,308,2.4678497314453125,13.46875
1774720532,gateway1,100,308,2.9541778564453125,13.4375
1774720535,gateway1,100,308,3.3899765014648438,13.46875
1774720539,gateway1,100,308,3.8869094848632812,13.375
1774720542,gateway1,100,308,4.31982421875,13.375
1774720545,gateway1,100,308,2.5957870483398438,13.375
1774720548,gateway1,100,308,3.0538558959960938,13.375
1774720551,gateway1,100,308,3.4927291870117188,13.3125
1774720554,gateway1,100,308,3.9668197631835938,13.3125
1774720557,gateway1,119,365,2.6464767456054688,13.1875
1774720561,gateway1,161,491,3.7081069946289062,12.78125
1774720564,gateway1,203,617,3.6166915893554688,12.28125
1774720567,gateway1,245,743,4.878807067871094,11.71875
1774720570,gateway1,287,869,6.5851593017578125,15.09375
1774720573,gateway1,329,995,5.989677429199219,14.53125
1774720576,gateway1,371,1121,7.767585754394531,17.90625
1774720580,gateway1,413,1247,10.067825317382812,17.1875
1774720583,gateway1,455,1373,8.427688598632812,20.59375
1774720586,gateway1,497,1501,10.740364074707031,19.90625
1774720589,gateway1,500,1508,13.054603576660156,23.5
1774720592,gateway1,500,1508,9.157913208007812,23.28125
1774720595,gateway1,500,1508,11.40777587890625,22.96875
1774720599,gateway1,500,1508,13.690750122070312,22.84375
1774720602,gateway1,500,1508,15.917709350585938,22.84375
1774720605,gateway1,500,1508,9.754585266113281,22.8125
1774720608,gateway1,500,1508,12.009765625,22.84375
1774720611,gateway1,500,1508,14.271705627441406,22.78125
1774720614,gateway1,500,1508,8.161087036132812,26.78125
1774720618,gateway1,500,1508,10.401290893554688,26.71875
1774720621,gateway1,500,1508,12.6943359375,26.65625
1774720624,gateway1,500,1508,14.924217224121094,26.5625
1774720627,gateway1,500,1508,8.296623229980469,26.59375
1774720630,gateway1,500,1508,10.536979675292969,26.53125
